CustomerType,ArrivalTime,SQ1,SQ2,SQ3,SQ5,SQ5,SQ6,SQ7,SQ8,LES,NbAgents,WaitingTime
30175,30459.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31167.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31016.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31238.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,30976.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,30768.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30175,31278.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31040.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31280.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31260.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31251.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,31236.0,0,0,0,0,1,0,0,0,0.0,0,1.0
30175,30855.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31194.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31169.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,30985.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31300.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31443.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31373.0,0,0,1,0,0,0,0,0,0.0,0,9.0
30179,31345.0,0,0,2,0,0,0,0,0,0.0,0,1.0
30179,31235.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31330.0,0,0,1,0,0,0,0,0,0.0,0,51.0
30560,31310.0,0,0,0,0,0,0,0,0,0.0,0,60.0
30175,31518.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31196.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31680.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31652.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31539.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31610.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31752.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31622.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,31898.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31566.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31622.0,0,0,1,0,0,0,0,0,0.0,0,1.0
30560,31823.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31800.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31997.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30179,31746.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,31925.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32031.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32025.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32027.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32041.0,1,0,0,0,0,0,0,0,0.0,0,12.0
30175,31887.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30172,31904.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,31734.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31986.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32005.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,32048.0,1,0,0,0,0,0,0,0,0.0,0,14.0
30172,32009.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,32179.0,0,2,1,0,0,0,0,0,0.0,0,45.0
30175,32250.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32260.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,32115.0,0,0,1,0,0,0,0,0,0.0,0,12.0
30560,32255.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32160.0,0,2,0,0,0,0,0,0,0.0,0,47.0
30172,32157.0,0,1,0,0,0,0,0,0,0.0,0,36.0
30172,32069.0,0,0,0,0,0,0,0,0,0.0,0,41.0
30172,32135.0,0,0,0,0,0,0,0,0,0.0,0,50.0
30175,32352.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32204.0,0,1,1,0,0,0,0,0,0.0,0,1.0
